fid,id,nb_points,x,y,h,lat,lon,z,gnd_elev,min_h,delta_h,avg_intensity,source,validity,is_outlier,is_windmill,windmill_h,windmill_id,windmill_status,windmill_stand,in_nrw,eTOD_found,eTOD_name,eTOD_z,eTOD_h,eTOD_descr,eTOD_dist,eTOD_x,eTOD_y,AIP_issue,ALS_issue,processed_on,ALS_comment,AIP_comment,free_comment,view_available,object_type,OSINT,duplicate,2D_embed_link,3D_embed_link
"875",03.02.85,"558",454729.85,5805409.28,146.2274985,52.39705266,8.334664912,190.94,44.71250153,89.96249725,56.26500122,40041.45878,3dm_32_454_5805_1_nw.laz,2023-02,false,false,,,,,false,false,,,,,,,,,,,,,,false,,,,,
"901",03.01.87,"11710",460001.3079,5692171.994,112.5575183,51.37938168,8.425251955,439.07,326.5124817,60.00000366,52.55751465,170.7774552,3dm_32_460_5692_1_nw.laz,2021-03,false,false,,,,,true,false,,,,,,,,true,false,2024/02/08 00:00:00,,missing,,true,bridge or bridge pillar,,true,https://dme-3.github.io/Obstacles-Map/embeds/3.1.87-2D.html,https://dme-3.github.io/Obstacles-Map/embeds/3.1.87-3D.html
"905",03.02.87,"1429",430029.78,5774234.27,145.6500021,52.11421641,7.978161055,218.89,73.23999786,60.14000305,85.50999908,100.5486354,3dm_32_430_5774_1_nw.laz,2019-02,false,false,,,,,false,false,,,,,,,,,,,,,,false,,,,,
"915",02.01.88,"1895",340321.4407,5693424.967,126.8750006,51.36959543,6.705979631,155.14,28.26499939,60.02749954,66.84750107,794.0575198,3dm_32_340_5693_1_nw.laz,2020-03,false,false,,,,,true,false,,,,,,,,true,false,2024/02/08 00:00:00,,missing,,true,smoke stack,,false,https://dme-3.github.io/Obstacles-Map/embeds/2.1.88-2D.html,https://dme-3.github.io/Obstacles-Map/embeds/2.1.88-3D.html
"923",03.03.88,"501",508588.9033,5812547.44,148.1524988,52.4630332,9.126415851,195.31,47.15750122,60.12250031,88.02999847,38461.05389,3dm_32_508_5812_1_nw.laz,2023-03,false,false,,,,,false,false,,,,,,,,,,,,,,false,,,,,
"935",03.02.89,"1162",431819.85,5774056.185,144.5900009,52.11283776,8.004334887,218.05,73.45999908,60.05,84.54000092,105.2177281,3dm_32_431_5774_1_nw.laz,2019-02,false,false,,,,,false,false,,,,,,,,,,,,,,false,,,,,
"946",03.01.90,"5538",429003.1279,5725501.285,111.5699997,51.67604986,7.973194631,177.75,66.18000031,60.00999634,51.56000336,319.368364,3dm_32_429_5725_1_nw.laz,2018-02,false,false,,,,,true,false,,,,,,,,true,false,2024/02/08 00:00:00,,missing,,true,building,,true,https://dme-3.github.io/Obstacles-Map/embeds/3.1.90-2D.html,https://dme-3.github.io/Obstacles-Map/embeds/3.1.90-3D.html
"968",03.03.91,"1251",495222.0233,5806483.303,147.0324988,52.40856025,8.929763125,197.94,50.90750122,60.29249985,86.73999893,40824.18545,3dm_32_495_5806_1_nw.laz,2023-02,false,false,,,,,false,false,,,,,,,,,,,,,,false,,,,,
"989",01.01.93,"572",316080.205,5582453.225,138.7425073,50.36536622,6.413857695,698.11,559.3674927,60.38747559,78.35503174,150.3304196,3dm_32_316_5582_1_nw.laz,2021-12,false,false,,,,,false,false,,,,,,,,,,,,,,false,,,,,
"995",03.02.93,"856",432172.985,5775623.925,143.1800034,52.12697751,8.009177251,220.45,77.26999664,60.06000366,83.11999969,143.0992991,3dm_32_432_5775_1_nw.laz,2019-02,false,false,,,,,false,false,,,,,,,,,,,,,,false,,,,,
"1002",03.04.93,"1751",496515.7033,5695429.588,170.5700012,51.41007252,8.949901119,489.1,318.5299988,60.11249146,110.4575098,155.9897202,3dm_32_496_5695_1_nw.laz,2021-03,false,false,,,,,false,false,,,,,,,,,,,,,,false,,,,,
"1010",03.02.94,"547",455855.88,5804897.7,142.3975003,52.39254225,8.3512849,186.53,44.13249969,60.40000061,81.99749969,35763.7532,3dm_32_455_5804_1_nw.laz,2023-02,false,false,,,,,false,false,,,,,,,,,,,,,,false,,,,,
